timestamp,isInUse,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1709333015868,0,-0.9963379,-0.05566406,-0.06274414,-2.183206,0.3587786,-1.053435
1709333017939,0,-0.9951172,-0.05517578,-0.08032227,-2.557252,0.2061069,-1.152672
1709333020055,0,-0.9951172,-0.05615234,-0.07543945,-2.427481,0.1221374,-1.145038
1709333022190,0,-0.9963379,-0.04980469,-0.06542969,-2.259542,0.1908397,-1.091603
1709333024276,0,-1.000244,-0.05297852,-0.0871582,-2.351145,-0.09923664,-1.068702
1709333026330,0,-0.9936523,-0.05126953,-0.04760742,-2.114504,0.0610687,-1.099237
1709333028440,0,-0.9985352,-0.05981445,-0.05639648,-2.10687,0.1450382,-0.9923664
1709333030557,0,-1.004883,-0.05566406,-0.0871582,-2.351145,0.09923664,-1.122137
1709333032667,0,-0.9953613,-0.05639648,-0.05810547,-2.045802,0.04580153,-1.122137
1709333035290,0,-1.002197,-0.05419922,-0.06445313,-2.40458,0.389313,-1
1709333040522,0,-1.00293,-0.05859375,-0.07055664,-2.061069,0.3664122,-1.083969
1709333042590,0,-0.9960938,-0.05615234,-0.07421875,-2.122137,0.2290076,-1.114504
1709333044701,0,-0.9960938,-0.05419922,-0.06982422,-2.129771,0.03053435,-1.160305
1709333046812,0,-1.009277,-0.05224609,-0.08325195,-2.526718,0.5572519,-1.122137
1709333048931,0,-0.9995117,-0.05371094,-0.0690918,-2.160305,0.0610687,-1.137405
1709333051038,0,-1.004639,-0.06567383,-0.05639648,-2,0.3206107,-0.961832
1709333053173,0,-1.002441,-0.05615234,-0.05639648,-2.10687,0.2748091,-1.015267
1709333055265,0,-0.9973145,-0.05517578,-0.05200195,-2.366412,0.2442748,-0.9923664
1709333057422,0,-0.9943848,-0.05712891,-0.05859375,-2.053435,0.4351145,-1.007634
1709333059487,0,-0.996582,-0.05371094,-0.05273438,-2.19084,0.2900764,-1.167939
1709333061603,0,-1.000977,-0.06494141,-0.0546875,-2.175573,0.3282443,-1.145038
1709333066843,0,-0.9990234,-0.06152344,-0.05932617,-2.076336,-0.007633588,-0.9770992
1709333069500,0,-0.9978027,-0.05615234,-0.06152344,-2.251908,0.3358779,-1.137405
1709333071586,0,-0.9980469,-0.05639648,-0.0847168,-2.076336,0.2213741,-1.10687
1709333073707,0,-0.9892578,-0.05932617,-0.06811523,-2.061069,0.03053435,-1.007634
1709333075806,0,-1.010986,-0.05688477,-0.06396484,-2.160305,0.1679389,-1.137405
1709333077855,0,-1.008545,-0.05419922,-0.07348633,-2.221374,0.480916,-1.152672
1709333079966,0,-0.9997559,-0.05322266,-0.07226563,-2.251908,0.09160305,-1.022901
1709333082087,0,-0.9934082,-0.05761719,-0.07568359,-2.419847,0.03816794,-1.152672
1709333084195,0,-0.9990234,-0.05175781,-0.05688477,-2.328244,0.2290076,-1.122137
1709333086311,0,-1.003418,-0.06103516,-0.06494141,-2.145038,0.4580153,-0.9847328
1709333088430,0,-1.006104,-0.05517578,-0.06713867,-2.229008,0.3358779,-1.091603
1709333090610,0,-0.9936523,-0.05712891,-0.04931641,-2.114504,0.04580153,-1.045802
1709333092711,0,-1.004639,-0.05712891,-0.07250977,-2.160305,0.3435115,-0.9770992
1709333094888,0,-1.008545,-0.06103516,-0.06445313,-2.038168,0.2366412,-1.038168
1709333097514,0,-0.9975586,-0.05224609,-0.07250977,-2.083969,0.1145038,-1.030534
1709333099626,0,-0.9995117,-0.0637207,-0.04516602,-2.038168,0.1526718,-1.022901
1709333101770,0,-0.9995117,-0.05688477,-0.07006836,-2.19084,0.03816794,-0.9083969
1709333103843,0,-1.000244,-0.05810547,-0.05053711,-2.160305,0.2519084,-1.167939
1709333105898,0,-0.9968262,-0.0559082,-0.06787109,-2.175573,0.1374046,-1.068702
1709333111113,0,-0.984375,-0.05981445,-0.07250977,-2.183206,0.2213741,-1.022901
1709333113190,0,-1.003418,-0.05078125,-0.06665039,-2.274809,0.2519084,-1.038168
1709333115312,0,-1.013428,-0.06176758,-0.07226563,-2.259542,0.5877862,-1.030534
1709333117415,0,-0.986084,-0.05419922,-0.05834961,-2.167939,0.2061069,-1.061069
1709333119524,0,-1.00708,-0.05615234,-0.05517578,-1.992366,0.05343511,-1.167939
1709333121580,0,-1.003174,-0.05249023,-0.06665039,-2.259542,0.4045802,-1.083969
1709333123691,0,-0.9946289,-0.0546875,-0.08349609,-2.083969,-0.007633588,-1.045802
1709333125801,0,-0.9909668,-0.06201172,-0.04516602,-2.129771,0.01526718,-1.015267
1709333131555,0,-0.9970703,-0.06762695,-0.06103516,-2.175573,0.1755725,-1.122137
1709333133623,0,-0.9985352,-0.04931641,-0.05883789,-2.427481,0.01526718,-1.114504
1709333135723,0,-0.9902344,-0.06323242,-0.05883789,-2.152672,0.129771,-1.129771
1709333137863,0,-1.003174,-0.05712891,-0.06689453,-2.267176,0.2366412,-1.053435
1709333139949,0,-1.003174,-0.05712891,-0.07666016,-2,0.08396947,-1.038168
